,CIA_title,Year,level,type_cat,fwci_awarded,pubs_awarded
344,Dr,2016,1,1,4.835,12.0
345,Dr,2016,1,1,1.528,25.0
346,Mr,2016,0,1,2.505,8.0
347,Mr,2016,0,1,1.765714285714286,12.0
348,Mr,2016,0,1,2.288,23.0
349,Dr,2016,1,1,1.528571428571428,14.0
350,Dr,2016,1,1,0.9325,9.0
351,Dr,2016,1,1,,
352,Dr,2016,1,1,1.0075,8.0
353,Prof,2016,3,3,1.361818181818182,143.0
354,Prof,2016,3,3,2.599090909090909,41.0
355,Prof,2016,3,3,2.861818181818182,136.0
356,Prof,2016,3,3,2.720909090909091,217.0
357,A/Pr,2016,2,3,2.441818181818182,65.0
358,Prof,2016,3,3,1.377272727272727,63.0
359,A/Pr,2016,2,3,2.432727272727273,89.0
360,A/Pr,2016,2,3,,
361,Prof,2016,3,3,1.802727272727273,68.0
362,Prof,2016,3,3,,
363,A/Pr,2016,2,3,,
364,Prof,2016,3,3,5.412727272727273,129.0
365,Prof,2016,3,3,2.924545454545455,286.0
366,Prof,2016,3,3,3.113333333333333,4.0
367,Prof,2016,3,3,,
368,A/Pr,2016,2,3,,
369,A/Pr,2016,2,3,,
370,Prof,2016,3,3,,
371,Prof,2016,3,3,1.369090909090909,149.0
372,Dr,2016,1,3,,
373,Prof,2016,3,3,,
374,Prof,2016,3,3,1.542727272727273,142.0
375,Prof,2016,3,3,,
376,Prof,2016,3,3,,
377,Prof,2016,3,3,1.289090909090909,130.0
378,Prof,2016,3,3,2.520909090909091,137.0
379,A/Pr,2016,2,3,1.183636363636364,54.0
380,Prof,2016,3,3,,
381,Prof,2016,3,3,,
382,Prof,2016,3,3,,
383,Prof,2016,3,3,1.720909090909091,115.0
384,Prof,2016,3,3,,
385,A/Pr,2016,2,3,0.0,1.0
386,Prof,2016,3,3,2.204545454545454,75.0
387,Prof,2016,3,3,2.539090909090909,86.0
388,Prof,2016,3,3,,
389,Prof,2016,3,3,2.647272727272727,204.0
390,A/Pr,2016,2,3,,
391,A/Pr,2016,2,3,3.504545454545454,85.0
392,A/Pr,2016,2,3,2.13,76.0
393,A/Pr,2016,2,3,1.678,46.0
394,Prof,2016,3,3,2.803636363636364,117.0
395,A/Pr,2016,2,3,2.099090909090909,191.0
396,Prof,2016,3,3,3.172727272727272,79.0
397,Dr,2016,1,3,2.677272727272727,56.0
398,Prof,2016,3,3,9.232727272727272,
399,A/Pr,2016,2,3,1.861818181818182,56.0
400,Prof,2016,3,3,5.064545454545454,264.0
401,Prof,2016,3,3,2.588181818181818,134.0
402,A/Pr,2016,2,3,4.169090909090909,143.0
403,Prof,2016,3,3,4.224,65.0
404,Prof,2016,3,3,5.524545454545454,282.0
405,A/Pr,2016,2,3,,
406,Prof,2016,3,3,2.187272727272727,108.0
407,Prof,2016,3,3,2.143636363636364,323.0
408,Prof,2016,3,3,1.305454545454545,161.0
409,Prof,2016,3,3,,
410,A/Pr,2016,2,3,1.445454545454546,68.0
411,Prof,2016,3,3,2.615,63.0
412,A/Pr,2016,2,3,1.454545454545455,86.0
413,Prof,2016,3,3,1.742727272727273,94.0
414,Prof,2016,3,3,2.113636363636364,201.0
415,Prof,2016,3,3,1.798181818181818,49.0
416,Prof,2016,3,3,,
417,Prof,2016,3,3,1.82,146.0
418,Prof,2016,3,3,,
